game_id,home_team,away_team,bookmaker,market,player,direction,value,price
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Over,32.5,110
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Under,32.5,-150
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Over,25.5,-113
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Under,25.5,-117
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Over,13.5,100
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Under,13.5,-132
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Over,11.5,-107
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Under,11.5,-125
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Derrick Jones,Over,7.5,-124
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Derrick Jones,Under,7.5,-107
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Over,10.5,-114
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Under,10.5,-117
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Over,18.5,-117
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Under,18.5,-114
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Over,22.5,-107
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Under,22.5,-125
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Over,9.5,-250
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Under,9.5,163
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Over,28.5,163
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Under,28.5,-250
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Over,30.5,-136
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Under,30.5,102
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Over,19.5,-230
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Under,19.5,150
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Over,26.5,205
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Under,26.5,-345
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Over,12.5,160
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Under,12.5,-240
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Over,26.5,110
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Under,26.5,-148
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Over,21.5,-345
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Under,21.5,200
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Over,13.5,150
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Under,13.5,-230
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Over,11.5,-200
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Under,11.5,135
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Over,16.5,-200
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Under,16.5,138
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Over,15.5,175
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Under,15.5,-275
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Over,24.5,138
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Under,24.5,-200
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Over,34.5,163
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Under,34.5,-250
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Over,23.5,-186
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Under,23.5,130
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Over,23.5,116
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Under,23.5,-159
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Over,13.5,185
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Under,13.5,-295
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Over,22.5,200
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Under,22.5,-335
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Over,27.5,-295
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Under,27.5,180
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Over,10.5,-305
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Under,10.5,185
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Over,29.5,-175
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Under,29.5,123
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Over,20.5,132
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Under,20.5,-190
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Over,9.5,-250
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Under,9.5,163
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Derrick Jones,Over,9.5,170
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Derrick Jones,Under,9.5,-275
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Over,8.5,-315
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Under,8.5,190
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Over,18.5,-305
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Under,18.5,188
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Over,9.5,-165
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Under,9.5,118
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Over,12.5,114
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Under,12.5,-155
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Over,10.5,-167
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Under,10.5,120
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Over,20.5,-175
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Under,20.5,123
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Derrick Jones,Over,6.5,-190
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Derrick Jones,Under,6.5,132
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Over,17.5,-150
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Under,17.5,110
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Over,11.5,118
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Under,11.5,-165
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Over,27.5,133
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Under,27.5,-195
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Over,25.5,170
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Under,25.5,-265
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Over,15.5,-278
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Under,15.5,175
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Over,22.5,-250
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Under,22.5,163
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Over,33.5,135
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Under,33.5,-195
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Over,13.5,210
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Under,13.5,-360
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Over,14.5,132
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Under,14.5,-190
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Over,35.5,195
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Under,35.5,-335
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Over,14.5,200
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Under,14.5,-335
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Over,12.5,155
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Under,12.5,-235
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Over,29.5,195
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Under,29.5,-335
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Over,8.5,-250
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Tre Mann,Under,8.5,163
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Over,21.5,163
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Under,21.5,-250
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Over,28.5,-225
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Under,28.5,150
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Luka Doncic,Over,31.5,-110
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Luka Doncic,Under,31.5,-121
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Kyrie Irving,Over,24.5,-143
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Kyrie Irving,Under,24.5,107
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,P.J. Washington,Over,12.5,-136
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,P.J. Washington,Under,12.5,102
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Daniel Gafford,Over,10.5,-127
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Daniel Gafford,Under,10.5,-105
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Derrick Jones,Over,8.5,120
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Derrick Jones,Under,8.5,-167
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Miles Bridges,Over,21.5,-132
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Miles Bridges,Under,21.5,100
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Vasilije Micic,Over,11.5,-120
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Vasilije Micic,Under,11.5,-112
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Brandon Miller,Over,19.5,107
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Brandon Miller,Under,19.5,-143
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Luka Doncic,Over,32.5,110
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Luka Doncic,Under,32.5,-150
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Kyrie Irving,Over,25.5,-113
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Kyrie Irving,Under,25.5,-117
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,P.J. Washington,Over,13.5,100
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,P.J. Washington,Under,13.5,-132
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Daniel Gafford,Over,11.5,-107
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Daniel Gafford,Under,11.5,-125
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Derrick Jones,Over,7.5,-124
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Derrick Jones,Under,7.5,-107
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Tre Mann,Over,10.5,-114
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Tre Mann,Under,10.5,-117
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Brandon Miller,Over,18.5,-117
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Brandon Miller,Under,18.5,-114
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Miles Bridges,Over,22.5,-107
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,betrivers,points,Miles Bridges,Under,22.5,-125
